"ID","Category","Priority","Device / Browser","Test case","Preconditions","Steps","Expected result","Execution status"
"RF-MAN-001","Section movement — Customizer","Critical","Windows Chrome","Move Summary up from Content customizer","A two-column resume is open; Summary is enabled and contains a unique heading and detail marker.","Open Content. Locate Summary. Select Move up. Inspect the page, then edit its first detail.","The complete Summary container moves up; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-002","Section movement — Customizer","High","Windows Edge","Move Summary down from Content customizer","A two-column resume is open; Summary is enabled and contains a unique heading and detail marker.","Open Content. Locate Summary. Select Move down. Inspect the page, then edit its first detail.","The complete Summary container moves down; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-003","Section movement — Customizer","Medium","Windows Firefox","Move Summary left from Content customizer","A two-column resume is open; Summary is enabled and contains a unique heading and detail marker.","Open Content. Locate Summary. Select Move left. Inspect the page, then edit its first detail.","The complete Summary container moves left; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-004","Section movement — Customizer","Critical","macOS Safari","Move Summary right from Content customizer","A two-column resume is open; Summary is enabled and contains a unique heading and detail marker.","Open Content. Locate Summary. Select Move right. Inspect the page, then edit its first detail.","The complete Summary container moves right; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-005","Section movement — Customizer","High","macOS Chrome","Move Objective up from Content customizer","A two-column resume is open; Objective is enabled and contains a unique heading and detail marker.","Open Content. Locate Objective. Select Move up. Inspect the page, then edit its first detail.","The complete Objective container moves up; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-006","Section movement — Customizer","Medium","Android Chrome","Move Objective down from Content customizer","A two-column resume is open; Objective is enabled and contains a unique heading and detail marker.","Open Content. Locate Objective. Select Move down. Inspect the page, then edit its first detail.","The complete Objective container moves down; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-007","Section movement — Customizer","Critical","iPhone Safari","Move Objective left from Content customizer","A two-column resume is open; Objective is enabled and contains a unique heading and detail marker.","Open Content. Locate Objective. Select Move left. Inspect the page, then edit its first detail.","The complete Objective container moves left; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-008","Section movement — Customizer","High","iPad Safari","Move Objective right from Content customizer","A two-column resume is open; Objective is enabled and contains a unique heading and detail marker.","Open Content. Locate Objective. Select Move right. Inspect the page, then edit its first detail.","The complete Objective container moves right; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-009","Section movement — Customizer","Medium","Linux Chrome","Move Experience up from Content customizer","A two-column resume is open; Experience is enabled and contains a unique heading and detail marker.","Open Content. Locate Experience. Select Move up. Inspect the page, then edit its first detail.","The complete Experience container moves up; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-010","Section movement — Customizer","Critical","Tablet Edge","Move Experience down from Content customizer","A two-column resume is open; Experience is enabled and contains a unique heading and detail marker.","Open Content. Locate Experience. Select Move down. Inspect the page, then edit its first detail.","The complete Experience container moves down; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-011","Section movement — Customizer","High","Windows Chrome","Move Experience left from Content customizer","A two-column resume is open; Experience is enabled and contains a unique heading and detail marker.","Open Content. Locate Experience. Select Move left. Inspect the page, then edit its first detail.","The complete Experience container moves left; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-012","Section movement — Customizer","Medium","Windows Edge","Move Experience right from Content customizer","A two-column resume is open; Experience is enabled and contains a unique heading and detail marker.","Open Content. Locate Experience. Select Move right. Inspect the page, then edit its first detail.","The complete Experience container moves right; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-013","Section movement — Customizer","Critical","Windows Firefox","Move Education up from Content customizer","A two-column resume is open; Education is enabled and contains a unique heading and detail marker.","Open Content. Locate Education. Select Move up. Inspect the page, then edit its first detail.","The complete Education container moves up; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-014","Section movement — Customizer","High","macOS Safari","Move Education down from Content customizer","A two-column resume is open; Education is enabled and contains a unique heading and detail marker.","Open Content. Locate Education. Select Move down. Inspect the page, then edit its first detail.","The complete Education container moves down; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-015","Section movement — Customizer","Medium","macOS Chrome","Move Education left from Content customizer","A two-column resume is open; Education is enabled and contains a unique heading and detail marker.","Open Content. Locate Education. Select Move left. Inspect the page, then edit its first detail.","The complete Education container moves left; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-016","Section movement — Customizer","Critical","Android Chrome","Move Education right from Content customizer","A two-column resume is open; Education is enabled and contains a unique heading and detail marker.","Open Content. Locate Education. Select Move right. Inspect the page, then edit its first detail.","The complete Education container moves right; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-017","Section movement — Customizer","High","iPhone Safari","Move Certifications up from Content customizer","A two-column resume is open; Certifications is enabled and contains a unique heading and detail marker.","Open Content. Locate Certifications. Select Move up. Inspect the page, then edit its first detail.","The complete Certifications container moves up; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-018","Section movement — Customizer","Medium","iPad Safari","Move Certifications down from Content customizer","A two-column resume is open; Certifications is enabled and contains a unique heading and detail marker.","Open Content. Locate Certifications. Select Move down. Inspect the page, then edit its first detail.","The complete Certifications container moves down; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-019","Section movement — Customizer","Critical","Linux Chrome","Move Certifications left from Content customizer","A two-column resume is open; Certifications is enabled and contains a unique heading and detail marker.","Open Content. Locate Certifications. Select Move left. Inspect the page, then edit its first detail.","The complete Certifications container moves left; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-020","Section movement — Customizer","High","Tablet Edge","Move Certifications right from Content customizer","A two-column resume is open; Certifications is enabled and contains a unique heading and detail marker.","Open Content. Locate Certifications. Select Move right. Inspect the page, then edit its first detail.","The complete Certifications container moves right; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-021","Section movement — Customizer","Medium","Windows Chrome","Move Projects up from Content customizer","A two-column resume is open; Projects is enabled and contains a unique heading and detail marker.","Open Content. Locate Projects. Select Move up. Inspect the page, then edit its first detail.","The complete Projects container moves up; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-022","Section movement — Customizer","Critical","Windows Edge","Move Projects down from Content customizer","A two-column resume is open; Projects is enabled and contains a unique heading and detail marker.","Open Content. Locate Projects. Select Move down. Inspect the page, then edit its first detail.","The complete Projects container moves down; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-023","Section movement — Customizer","High","Windows Firefox","Move Projects left from Content customizer","A two-column resume is open; Projects is enabled and contains a unique heading and detail marker.","Open Content. Locate Projects. Select Move left. Inspect the page, then edit its first detail.","The complete Projects container moves left; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-024","Section movement — Customizer","Medium","macOS Safari","Move Projects right from Content customizer","A two-column resume is open; Projects is enabled and contains a unique heading and detail marker.","Open Content. Locate Projects. Select Move right. Inspect the page, then edit its first detail.","The complete Projects container moves right; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-025","Section movement — Customizer","Critical","macOS Chrome","Move Skills up from Content customizer","A two-column resume is open; Skills is enabled and contains a unique heading and detail marker.","Open Content. Locate Skills. Select Move up. Inspect the page, then edit its first detail.","The complete Skills container moves up; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-026","Section movement — Customizer","High","Android Chrome","Move Skills down from Content customizer","A two-column resume is open; Skills is enabled and contains a unique heading and detail marker.","Open Content. Locate Skills. Select Move down. Inspect the page, then edit its first detail.","The complete Skills container moves down; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-027","Section movement — Customizer","Medium","iPhone Safari","Move Skills left from Content customizer","A two-column resume is open; Skills is enabled and contains a unique heading and detail marker.","Open Content. Locate Skills. Select Move left. Inspect the page, then edit its first detail.","The complete Skills container moves left; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-028","Section movement — Customizer","Critical","iPad Safari","Move Skills right from Content customizer","A two-column resume is open; Skills is enabled and contains a unique heading and detail marker.","Open Content. Locate Skills. Select Move right. Inspect the page, then edit its first detail.","The complete Skills container moves right; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-029","Section movement — Customizer","High","Linux Chrome","Move Awards up from Content customizer","A two-column resume is open; Awards is enabled and contains a unique heading and detail marker.","Open Content. Locate Awards. Select Move up. Inspect the page, then edit its first detail.","The complete Awards container moves up; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-030","Section movement — Customizer","Medium","Tablet Edge","Move Awards down from Content customizer","A two-column resume is open; Awards is enabled and contains a unique heading and detail marker.","Open Content. Locate Awards. Select Move down. Inspect the page, then edit its first detail.","The complete Awards container moves down; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-031","Section movement — Customizer","Critical","Windows Chrome","Move Awards left from Content customizer","A two-column resume is open; Awards is enabled and contains a unique heading and detail marker.","Open Content. Locate Awards. Select Move left. Inspect the page, then edit its first detail.","The complete Awards container moves left; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-032","Section movement — Customizer","High","Windows Edge","Move Awards right from Content customizer","A two-column resume is open; Awards is enabled and contains a unique heading and detail marker.","Open Content. Locate Awards. Select Move right. Inspect the page, then edit its first detail.","The complete Awards container moves right; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-033","Section movement — Customizer","Medium","Windows Firefox","Move Technical Skills up from Content customizer","A two-column resume is open; Technical Skills is enabled and contains a unique heading and detail marker.","Open Content. Locate Technical Skills. Select Move up. Inspect the page, then edit its first detail.","The complete Technical Skills container moves up; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-034","Section movement — Customizer","Critical","macOS Safari","Move Technical Skills down from Content customizer","A two-column resume is open; Technical Skills is enabled and contains a unique heading and detail marker.","Open Content. Locate Technical Skills. Select Move down. Inspect the page, then edit its first detail.","The complete Technical Skills container moves down; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-035","Section movement — Customizer","High","macOS Chrome","Move Technical Skills left from Content customizer","A two-column resume is open; Technical Skills is enabled and contains a unique heading and detail marker.","Open Content. Locate Technical Skills. Select Move left. Inspect the page, then edit its first detail.","The complete Technical Skills container moves left; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-036","Section movement — Customizer","Medium","Android Chrome","Move Technical Skills right from Content customizer","A two-column resume is open; Technical Skills is enabled and contains a unique heading and detail marker.","Open Content. Locate Technical Skills. Select Move right. Inspect the page, then edit its first detail.","The complete Technical Skills container moves right; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-037","Section movement — Customizer","Critical","iPhone Safari","Move Languages up from Content customizer","A two-column resume is open; Languages is enabled and contains a unique heading and detail marker.","Open Content. Locate Languages. Select Move up. Inspect the page, then edit its first detail.","The complete Languages container moves up; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-038","Section movement — Customizer","High","iPad Safari","Move Languages down from Content customizer","A two-column resume is open; Languages is enabled and contains a unique heading and detail marker.","Open Content. Locate Languages. Select Move down. Inspect the page, then edit its first detail.","The complete Languages container moves down; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-039","Section movement — Customizer","Medium","Linux Chrome","Move Languages left from Content customizer","A two-column resume is open; Languages is enabled and contains a unique heading and detail marker.","Open Content. Locate Languages. Select Move left. Inspect the page, then edit its first detail.","The complete Languages container moves left; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-040","Section movement — Customizer","Critical","Tablet Edge","Move Languages right from Content customizer","A two-column resume is open; Languages is enabled and contains a unique heading and detail marker.","Open Content. Locate Languages. Select Move right. Inspect the page, then edit its first detail.","The complete Languages container moves right; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-041","Section movement — Customizer","High","Windows Chrome","Move Personal Details up from Content customizer","A two-column resume is open; Personal Details is enabled and contains a unique heading and detail marker.","Open Content. Locate Personal Details. Select Move up. Inspect the page, then edit its first detail.","The complete Personal Details container moves up; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-042","Section movement — Customizer","Medium","Windows Edge","Move Personal Details down from Content customizer","A two-column resume is open; Personal Details is enabled and contains a unique heading and detail marker.","Open Content. Locate Personal Details. Select Move down. Inspect the page, then edit its first detail.","The complete Personal Details container moves down; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-043","Section movement — Customizer","Critical","Windows Firefox","Move Personal Details left from Content customizer","A two-column resume is open; Personal Details is enabled and contains a unique heading and detail marker.","Open Content. Locate Personal Details. Select Move left. Inspect the page, then edit its first detail.","The complete Personal Details container moves left; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-044","Section movement — Customizer","High","macOS Safari","Move Personal Details right from Content customizer","A two-column resume is open; Personal Details is enabled and contains a unique heading and detail marker.","Open Content. Locate Personal Details. Select Move right. Inspect the page, then edit its first detail.","The complete Personal Details container moves right; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-045","Section movement — Customizer","Medium","macOS Chrome","Move Volunteer Experience up from Content customizer","A two-column resume is open; Volunteer Experience is enabled and contains a unique heading and detail marker.","Open Content. Locate Volunteer Experience. Select Move up. Inspect the page, then edit its first detail.","The complete Volunteer Experience container moves up; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-046","Section movement — Customizer","Critical","Android Chrome","Move Volunteer Experience down from Content customizer","A two-column resume is open; Volunteer Experience is enabled and contains a unique heading and detail marker.","Open Content. Locate Volunteer Experience. Select Move down. Inspect the page, then edit its first detail.","The complete Volunteer Experience container moves down; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-047","Section movement — Customizer","High","iPhone Safari","Move Volunteer Experience left from Content customizer","A two-column resume is open; Volunteer Experience is enabled and contains a unique heading and detail marker.","Open Content. Locate Volunteer Experience. Select Move left. Inspect the page, then edit its first detail.","The complete Volunteer Experience container moves left; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-048","Section movement — Customizer","Medium","iPad Safari","Move Volunteer Experience right from Content customizer","A two-column resume is open; Volunteer Experience is enabled and contains a unique heading and detail marker.","Open Content. Locate Volunteer Experience. Select Move right. Inspect the page, then edit its first detail.","The complete Volunteer Experience container moves right; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-049","Section movement — Customizer","Critical","Linux Chrome","Move Publications up from Content customizer","A two-column resume is open; Publications is enabled and contains a unique heading and detail marker.","Open Content. Locate Publications. Select Move up. Inspect the page, then edit its first detail.","The complete Publications container moves up; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-050","Section movement — Customizer","High","Tablet Edge","Move Publications down from Content customizer","A two-column resume is open; Publications is enabled and contains a unique heading and detail marker.","Open Content. Locate Publications. Select Move down. Inspect the page, then edit its first detail.","The complete Publications container moves down; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
"RF-MAN-051","Section movement — Customizer","Medium","Windows Chrome","Move Publications left from Content customizer","A two-column resume is open; Publications is enabled and contains a unique heading and detail marker.","Open Content. Locate Publications. Select Move left. Inspect the page, then edit its first detail.","The complete Publications container moves left; heading and every detail remain together, editable, and appear exactly once.","Ready for independent manual execution"
